t,cn_Emod,cn_Etrue,sav_Emod,sav_Etrue
2.11,0.1967213843,0.9686795878,-0.0546502945,1.154110913
2.12,0.1957069479,0.9676486262,-0.05470621003,1.154052132
2.13,0.1944794399,0.966432226,-0.05476633211,1.153990153
2.14,0.192984031,0.9649886463,-0.05483103636,1.153924737
2.15,0.1911515199,0.9632668539,-0.05490073765,1.153855625
2.16,0.188895833,0.9612056188,-0.05497589463,1.153782535
2.17,0.1861124015,0.9587336258,-0.05505701502,1.153705157
2.18,0.1826786671,0.9557714955,-0.05514466136,1.153623153
2.19,0.1784584397,0.9522367563,-0.05523945768,1.15353615
2.2,0.1733118617,0.9480525107,-0.05534209693,1.153443741
2.21,0.1671117119,0.9431594322,-0.05545334937,1.153345479
2.22,0.1597642976,0.9375288238,-0.05557407207,1.153240871
2.23,0.1512299284,0.9311726391,-0.05570521957,1.153129375
2.24,0.1415361577,0.9241463465,-0.05584785589,1.153010396
2.25,0.1307792293,0.9165435833,-0.05600316805,1.152883274
2.26,0.1191158082,0.9084867901,-0.05617248123,1.152747286
2.27,0.106754232,0.900121816,-0.05635727567,1.15260163
2.28,0.09395497151,0.891622023,-0.05655920566,1.152445424
2.29,0.08103838716,0.8831968222,-0.05678012049,1.152277692
2.3,0.06838033954,0.8750879781,-0.05702208768,1.152097358
2.31,0.05637369671,0.8675397383,-0.05728741844,1.151903234
2.32,0.04535997881,0.8607508482,-0.05757869542,1.151694009
2.33,0.03556705607,0.8548363013,-0.0578988025,1.151468238
2.34,0.02708718123,0.8498198592,-0.05825095648,1.151224333
2.35,0.01989724214,0.8456539548,-0.05863873999,1.150960546
2.36,0.01389853601,0.8422492674,-0.05906613489,1.150674965
2.37,0.008954426094,0.8394999069,-0.05953755484,1.1503655
2.38,0.004916971937,0.8372997041,-0.06005787534,1.150029877
2.39,0.001642776285,0.8355508941,-0.06063245861,1.149665634
2.4,-0.0009988155076,0.8341678457,-0.06126717025,1.149270125
2.41,-0.003122268421,0.8330779589,-0.06196838314,1.148840527
2.42,-0.004825178984,0.8322210759,-0.06274296341,1.148373857
2.43,-0.006189121185,0.8315481903,-0.06359823163,1.147867008
2.44,-0.007281254013,0.8310198999,-0.06454189169,1.147316787
2.45,-0.008156227255,0.8306048473,-0.06558191836,1.146719991
2.46,-0.008858111937,0.8302782768,-0.06672639448,1.146073488
2.47,-0.009422203793,0.8300207657,-0.06798328879,1.145374335
2.48,-0.009876626019,0.8298171466,-0.0693601672,1.144619918
2.49,-0.01024370595,0.8296556142,-0.07086383368,1.143808124
2.5,-0.01054112875,0.8295269998,-0.0724999026,1.142937533
2.51,-0.01078288635,0.8294241903,-0.07427231261,1.142007629
2.52,-0.01098004719,0.8293416673,-0.07618280255,1.141019021
2.53,-0.01114137345,0.8292751466,-0.07823038212,1.139973652
2.54,-0.01127381207,0.8292212966,-0.08041084185,1.138874975
2.55,-0.01138288266,0.829177521,-0.08271635713,1.137728078
2.56,-0.01147298263,0.8291417899,-0.08513524513,1.136539729
2.57,-0.01154762626,0.8291125115,-0.08765193006,1.135318319
2.58,-0.01160963182,0.829088432,-0.09024715865,1.134073693
2.59,-0.0116612677,0.8290685603,-0.09289848393,1.132816867
2.6,-0.0117043667,0.8290521089,-0.09558100451,1.131559638
2.61,-0.01174041535,0.8290384495,-0.09826831296,1.130314127
2.62,-0.01177062402,0.8290270784,-0.1009335772,1.129092276
2.63,-0.0117959819,0.8290175896,-0.1035506597,1.127905358
2.64,-0.01181730032,0.8290096549,-0.1060951757,1.126763532
2.65,-0.01183524707,0.8290030072,-0.1085453989,1.125675488
2.66,-0.01185037355,0.8289974287,-0.1108829516,1.124648205
2.67,-0.01186313643,0.8289927407,-0.1130932409,1.123686821
2.68,-0.01187391501,0.8289887963,-0.1151656364,1.122794631
2.69,-0.0118830251,0.8289854741,-0.1170934135,1.121973169
2.7,-0.0118907303,0.8289826737,-0.1188734994,1.121222386
2.71,-0.01189725109,0.8289803116,-0.1205060766,1.120540871
2.72,-0.01190277221,0.8289783182,-0.1219940952,1.119926098
2.73,-0.01190744878,0.8289766354,-0.123342743,1.119374688
2.74,-0.0119114112,0.8289752146,-0.1245589155,1.118882653
2.75,-0.01191476925,0.8289740151,-0.125650717,1.118445618
2.76,-0.01191761549,0.8289730026,-0.1266270135,1.118059019
2.77,-0.01192002803,0.8289721484,-0.1274970498,1.117718255
2.78,-0.01192207285,0.8289714282,-0.1282701358,1.11741882
2.79,-0.01192380575,0.8289708215,-0.1289554,1.117156396
2.8,-0.01192527394,0.828970311,-0.1295616063,1.116926914
2.81,-0.01192651738,0.8289698822,-0.1300970258,1.116726599
2.82,-0.01192756995,0.8289695227,-0.1305693548,1.116551993
2.83,-0.01192846036,0.8289692219,-0.1309856713,1.116399959
2.84,-0.01192921298,0.8289689711,-0.1313524204,1.116267677
2.85,-0.01192984846,0.8289687628,-0.1316754232,1.116152631
2.86,-0.01193038435,0.8289685905,-0.1319598999,1.116052594
2.87,-0.01193083554,0.8289684489,-0.1322105045,1.115965598
2.88,-0.01193121471,0.8289683334,-0.1324313664,1.11588992
2.89,-0.01193153259,0.82896824,-0.132626134,1.115824054
2.9,-0.01193179833,0.8289681655,-0.1327980202,1.115766685
2.91,-0.0119320197,0.8289681071,-0.1329498466,1.115716674
2.92,-0.01193220331,0.8289680623,-0.1330840859,1.115673033
2.93,-0.01193235478,0.8289680292,-0.1332029013,1.115634905
2.94,-0.01193247888,0.8289680059,-0.1333081831,1.115601552
2.95,-0.01193257968,0.8289679911,-0.1334015814,1.115572335
2.96,-0.01193266065,0.8289679835,-0.1334845362,1.115546704
2.97,-0.01193272472,0.8289679819,-0.1335583041,1.115524186
2.98,-0.0119327744,0.8289679856,-0.1336239812,1.115504369
2.99,-0.01193281183,0.8289679938,-0.1336825243,1.115486903
3,-0.01193283881,0.8289680057,-0.1337347691,1.115471482
