t,E_true,E_mod,mass
0.925,8.584987496,5.326081771,-0.008422930662
0.93,8.582116059,5.320011034,-0.008422930662
0.935,8.579270661,5.31400406,-0.008422930662
0.94,8.576450914,5.308059778,-0.008422930662
0.945,8.573656433,5.302177132,-0.008422930662
0.95,8.570886838,5.296355077,-0.008422930662
0.955,8.568141755,5.290592583,-0.008422930662
0.96,8.565420816,5.284888629,-0.008422930662
0.965,8.562723656,5.27924221,-0.008422930662
0.97,8.560049915,5.273652331,-0.008422930662
0.975,8.557399235,5.268118007,-0.008422930662
0.98,8.554771265,5.262638266,-0.008422930662
0.985,8.552165654,5.257212146,-0.008422930662
0.99,8.549582057,5.251838696,-0.008422930662
0.995,8.547020131,5.246516973,-0.008422930662
1,8.544479535,5.241246047,-0.008422930662
1.005,8.541959932,5.236024994,-0.008422930662
1.01,8.539460989,5.230852902,-0.008422930662
1.015,8.536982374,5.225728869,-0.008422930662
1.02,8.534523758,5.220652003,-0.008422930662
1.025,8.532084816,5.215621421,-0.008422930662
1.03,8.529665226,5.210636252,-0.008422930662
1.035,8.527264669,5.205695633,-0.008422930662
1.04,8.52488283,5.200798716,-0.008422930662
1.045,8.522519398,5.195944663,-0.008422930662
1.05,8.520174065,5.191132648,-0.008422930662
1.055,8.517846526,5.186361857,-0.008422930662
1.06,8.515536484,5.181631492,-0.008422930662
1.065,8.513243643,5.176940765,-0.008422930662
1.07,8.510967712,5.172288905,-0.008422930662
1.075,8.508708408,5.167675154,-0.008422930662
1.08,8.50646545,5.163098771,-0.008422930662
1.085,8.504238562,5.158559027,-0.008422930662
1.09,8.502027475,5.154055211,-0.008422930662
1.095,8.499831924,5.149586629,-0.008422930662
1.1,8.497651651,5.145152601,-0.008422930662
1.105,8.495486401,5.140752464,-0.008422930662
1.11,8.493335928,5.136385571,-0.008422930662
1.115,8.491199987,5.132051294,-0.008422930662
1.12,8.489078342,5.127749018,-0.008422930662
1.125,8.486970761,5.123478147,-0.008422930662
1.13,8.484877016,5.119238098,-0.008422930662
1.135,8.482796888,5.115028307,-0.008422930662
1.14,8.480730158,5.110848225,-0.008422930662
1.145,8.478676616,5.106697316,-0.008422930662
1.15,8.476636055,5.102575063,-0.008422930662
1.155,8.474608272,5.09848096,-0.008422930662
1.16,8.47259307,5.094414517,-0.008422930662
1.165,8.470590254,5.090375258,-0.008422930662
1.17,8.468599635,5.086362717,-0.008422930662
1.175,8.466621028,5.082376445,-0.008422930662
1.18,8.464654249,5.078416003,-0.008422930662
1.185,8.462699121,5.074480962,-0.008422930662
1.19,8.460755467,5.070570908,-0.008422930662
1.195,8.458823115,5.066685435,-0.008422930662
1.2,8.456901895,5.062824146,-0.008422930662
1.205,8.45499164,5.058986655,-0.008422930662
1.21,8.453092185,5.055172585,-0.008422930662
1.215,8.451203369,5.051381567,-0.008422930662
1.22,8.449325031,5.04761324,-0.008422930662
1.225,8.447457014,5.043867249,-0.008422930662
1.23,8.44559916,5.040143249,-0.008422930662
1.235,8.443751316,5.036440899,-0.008422930662
1.24,8.44191333,5.032759865,-0.008422930662
1.245,8.440085049,5.029099819,-0.008422930662
1.25,8.438266324,5.025460437,-0.008422930662
1.255,8.436457008,5.021841401,-0.008422930662
1.26,8.434656953,5.018242399,-0.008422930662
1.265,8.432866013,5.014663121,-0.008422930662
1.27,8.431084045,5.011103262,-0.008422930662
1.275,8.429310905,5.007562523,-0.008422930662
1.28,8.427546452,5.004040605,-0.008422930662
1.285,8.425790544,5.000537216,-0.008422930662
1.29,8.424043041,4.997052064,-0.008422930662
1.295,8.422303806,4.993584864,-0.008422930662
1.3,8.420572702,4.990135332,-0.008422930662
1.305,8.418849591,4.986703187,-0.008422930662
1.31,8.41713434,4.98328815,-0.008422930662
1.315,8.415426815,4.979889948,-0.008422930662
1.32,8.413726883,4.976508308,-0.008422930662
1.325,8.412034415,4.973142962,-0.008422930662
1.33,8.410349279,4.969793642,-0.008422930662
1.335,8.408671349,4.966460086,-0.008422930662
1.34,8.407000498,4.963142032,-0.008422930662
1.345,8.4053366,4.959839224,-0.008422930662
1.35,8.403679533,4.956551407,-0.008422930662
1.355,8.402029174,4.953278328,-0.008422930662
1.36,8.400385405,4.95001974,-0.008422930662
